
> data-vis@1.0.0 as1 /Users/saman/Projects/GitHub/data-vis
> node ./assignment-1/main.js

215 1305 106 652
215 1343 117 633
215 1381 126 611
215 1417 133 586
215 1452 136 558
215 1486 137 528
215 1520 134 497
215 1551 129 465
215 1582 121 433
215 1612 111 402
215 1640 97 372
215 1667 82 345
215 1693 63 320
215 1717 42 297
215 1741 18 277
215 1763 -8 260
215 1784 -37 244
215 1804 -70 230
215 1823 -103 216
215 1841 -136 203
215 1858 -162 189
215 1874 -172 174
215 1889 -151 156
215 1903 -82 134
215 1916 49 109
215 1928 253 82
215 1940 524 55
215 1951 842 33
215 1961 1172 16
215 1971 1476 6
215 1980 1722 1
215 1988 1892 0
215 1996 1978 0
215 2000 2000 0
236 0 0 0
236 3 0 -0
236 11 0 -0
236 19 1 -0
236 28 2 -0
236 38 4 -0
236 48 5 -0
236 59 7 -0
